"State","Bill Number","Name","Summary","Bill Progress","Last Action","Action Date"
"MD","HB77","Motor Vehicles - Parking - Armed Forces Special Registration Plates","AN ACT concerning Motor Vehicles - Parking - Armed Forces Special Registration Plates FOR the purpose of prohibiting a political subdivision from adopting or enforcing an ordinance, a regulation, or a policy that requires payment of a fee for parking a motor vehicle in a parking space served by a parking meter if the motor vehicle has certain armed forces-related special registration plates; and generally relating to parking by motor vehicles that have certain armed forces-related special registration plates. BY repealing and reenacting, with amendments, Article - Transportation Section 26-301(b) Annotated Code of Maryland (2020 Replacement Volume and 2023 Supplement) BY repealing and reenacting, without amendments, Article - Transportation Section 26-301(c) Annotated Code of Maryland (2020 Replacement Volume and 2023 Supplement) BY adding to Article - Transportation Section 26-301(c-1) Annotated Code of Maryland (2020 Replacement Volume and 2023 Supplement)","In Committee","House Environment and Transportation Hearing (13:00:00 2/1/2024 )","02/01/2024"
"MD","HB78","Maryland Environmental Service – Governance and Requirements","AN ACT concerning Maryland Environmental Service - Governance and Requirements FOR the purpose of altering the quorum threshold for the Board of Directors of the Maryland Environmental Service; authorizing the Secretary of the Board to delegate certain responsibilities to an employee of the Service; altering the obligations of the Service after receiving a request for services and after entering into a contract; altering the deadlines for certain audits and reports; repealing a certain audit requirement; and generally relating to the Maryland Environmental Service. BY repealing and reenacting, without amendments, Article - Natural Resources Section 3-101(a) and 3-103(a) and (e)(2) Annotated Code of Maryland (2023 Replacement Volume and 2023 Supplement) BY repealing and reenacting, with amendments, Article - Natural Resources Section 3-101(j), 3-103(b)(5) and (d), 3-107(b), and 3-126(d) and (h) Annotated Code of Maryland (2023 Replacement Volume and 2023 Supplement)","In Committee","House Appropriations Hearing (14:00:00 1/23/2024 )","01/23/2024"
"MD","HB79","Family Law – Child Custody – Determinations","Authorizing the court, in determining legal and physical custody in certain child custody proceedings, to consider certain factors; and authorizing the court to modify a child custody or visitation order if the court determines that there has been a material change in circumstances since the issuance of the order that relates to the needs of the child or the ability of the parents to meet those needs and that modifying the order is in the best interests of the child.","In Committee","Withdrawn by Sponsor","03/04/2024"
"MD","HB80","Election Law - Party and Elected Public Offices - Prohibition","Altering the application of provisions of law that prohibit an individual from simultaneously being a candidate for more than one public office or office of a political party; prohibiting individuals from simultaneously being a candidate for, or holding, a party office and an elected public office; and providing the Act does not apply to an individual on the ballot for the national presidential nominating convention or who holds the office of delegate to the national presidential nominating convention.","Crossed Over","Referred Education, Energy, and the Environment","02/16/2024"
"MD","HB81","Constitutional Amendment - Form of County Government - Requirement to Adopt Charter Home Rule","AN ACT concerning Constitutional Amendment - Form of County Government - Requirement to Adopt Charter Home Rule FOR the purpose of requiring each county to adopt a charter on or before a certain date using a certain procedure; altering the method by which a county shall adopt a charter under certain circumstances; requiring the charter to provide for the election of members of the county council by the voters of councilmanic districts; and limiting the applicability of certain Constitutional provisions governing code home rule counties. BY proposing a repeal of the Maryland Constitution Article XI-A - Local Legislation Section 1 BY proposing an addition to the Maryland Constitution Article XI-A - Local Legislation Section 1 BY proposing an amendment to the Maryland Constitution Article XI-A - Local Legislation Section 1A and 3A BY proposing an amendment to the Maryland Constitution Article XI-F - Home Rule for Code Counties Section 1","In Committee","House Environment and Transportation Hearing (13:30:00 2/6/2024 )","02/06/2024"
"MD","HB82","Post College and Career Readiness Pathways - Cost to Student - Alteration","AN ACT concerning Post College and Career Readiness Pathways - Cost to Student - Alteration FOR the purpose of repealing a requirement that a county board of education provide certain post college and career readiness pathways at no cost to students who meet the college and career readiness standard; and generally relating to the cost of post college and career readiness pathways. BY repealing and reenacting, without amendments, Article - Education Section 7-205.1(a) and (c) Annotated Code of Maryland (2022 Replacement Volume and 2023 Supplement) BY repealing and reenacting, with amendments, Article - Education Section 7-205.1(g) Annotated Code of Maryland (2022 Replacement Volume and 2023 Supplement)","In Committee","House Ways and Means Hearing (13:00:00 1/31/2024 )","01/31/2024"
"MD","HB83","Civil Actions - Noneconomic Damages - Personal Injury and Wrongful Death","Repealing certain limitations on noneconomic damages in civil actions for personal injury or wrongful death; and applying the Act prospectively.","In Committee","House Judiciary Hearing (14:30:00 2/7/2024 )","02/07/2024"
"MD","HB85","Department of Agriculture - Spay/Neuter Fund","Altering the contents and authorized uses of the Spay/Neuter Fund; requiring the Department of Agriculture to establish a process through which a person may make a voluntary donation to the Fund; requiring the Department to give additional consideration to certain competitive grant proposals that meet certain criteria; and increasing the fee on commercial feed prepared and distributed for consumption by dogs or cats and registered in the State beginning October 1, 2024.","In Committee","House Environment and Transportation Hearing (14:30:00 2/7/2024 )","02/07/2024"
"MD","HB86","Public and Nonpublic Schools - Auto-Injectable Epinephrine and Bronchodilators - Use, Availability, Training, and Policies","AN ACT concerning Public and Nonpublic Schools - Auto-Injectable Epinephrine and Bronchodilators - Use, Availability, Training, and Policies FOR the purpose of requiring each county board of education and authorizing nonpublic schools in the State to update their policies to require certain school nurses and other school personnel to complete certain training before they are authorized to administer auto-injectable epinephrine to a student who is determined to be, or is perceived to be, in anaphylaxis; requiring the State Department of Education, in consultation with certain groups, to identify or develop training for certain school personnel to identify symptoms of anaphylaxis, asthma, and respiratory distress in students; requiring each county board and authorizing nonpublic schools in the State to establish a policy to obtain, administer, and train certain school nurses and other school personnel to administer in emergency situations bronchodilators to a student who is determined to have asthma, is experiencing asthma-related symptoms, or is perceived to be in respiratory distress by a school nurse or any other school personnel; and generally relating to use and availability of auto-injectable epinephrine and bronchodilators in public and nonpublic schools in the State. BY repealing and reenacting, with amendments, Article - Education Section 7-426.2 and 7-426.3 Annotated Code of Maryland (2022 Replacement Volume and 2023 Supplement) BY adding to Article - Education Section 7-426.6 and 7-426.7 Annotated Code of Maryland (2022 Replacement Volume and 2023 Supplement) HOUSE BILL 86","In Committee","House Ways and Means Hearing (13:00:00 1/25/2024 )","01/25/2024"
"MD","HB87","Criminal Law - Death Penalty","Providing that a person who is convicted of first-degree murder may be sentenced to death under certain circumstances; and establishing certain procedures relating to custody, warrant of execution, incompetency, method of execution, witnesses, certificate, disposition of body, notice, trial, sentencing, review, and appeal in relation to imposition of the death penalty.","In Committee","House Judiciary Hearing (13:00:00 2/13/2024 )","02/13/2024"
"MD","HB88","State Retirement and Pension System - Immediate Vesting","Providing that an individual serving as the State Superintendent of Schools shall immediately vest in the State Retirement and Pension System.","Crossed Over","Referred Budget and Taxation","02/23/2024"
"MD","HB89","Income Tax - Credit for Individuals Without Motor Vehicles (One Less Car Act of 2024)","AN ACT concerning Income Tax - Credit for Individuals Without Motor Vehicles (One Less Car Act of 2024) FOR the purpose of allowing, for certain taxable years, a credit against the State income tax for certain qualified taxpayers if, for at least a certain period of time, the taxpayers were not listed as an insured on another individual’s personal motor vehicle liability insurance policy and the taxpayers and entities controlled by the taxpayers or the taxpayers’ dependents do not own or lease a motor vehicle required to be registered with a state; making the credit refundable under certain circumstances; requiring the Motor Vehicle Administration to provide certain information to the Comptroller; and generally relating to an income tax credit for individuals without motor vehicles. BY adding to Article - Tax - General Section 10-758 Annotated Code of Maryland (2022 Replacement Volume and 2023 Supplement)","In Committee","House Ways and Means Hearing (13:00:00 2/1/2024 )","02/01/2024"
"MD","HB90","Insurance - Hearing Representation","Requiring the Maryland Insurance Commissioner to allow corporations, partnerships, limited liability companies, and sole proprietorships that are small employers to be represented by certain authorized individuals rather than an attorney in certain hearings held by the Commissioner.","Crossed Over","Referred Finance","02/16/2024"
"MD","HB91","Fossil Fuel-Powered Lawn and Garden Care Equipment - State Purchase, Use, and Contracts - Prohibition","Prohibiting the State from purchasing fossil fuel-powered lawn and garden care equipment beginning January 1, 2025, under certain circumstances; prohibiting the State from entering into or renewing a contract under which the contractor, or a subcontractor employed by the contractor, uses fossil fuel-powered lawn and garden care equipment beginning January 1, 2025, under certain circumstances; and prohibiting the State from using any fossil fuel-powered lawn and garden care equipment beginning January 1, 2030.","In Committee","Withdrawn by Sponsor","02/05/2024"
"MD","HB92","Resources and Education for All Prisons (REAP) Act","Requiring the Department of Public Safety and Correctional Services to assist incarcerated individuals in accessing federal Pell Grants for higher education; requiring the Maryland Department of Labor to set goals for the number of incarcerated individuals in certain education programs, establish tracking systems relating to the number of incarcerated individuals and their progress in certain education programs, and forward certain data to the Maryland Higher Education Commission; etc.","Crossed Over","Referred Education, Energy, and the Environment Finance","02/26/2024"
"MD","HB93","Landlord and Tenant - Termination of Residential Lease - Limitation of Liability for Rent","Limiting a tenant's liability for rent to not more than 2 months' rent after the date on which the tenant vacates a leased premises if a physician or psychologist completes a form specifying that the tenant has a mental disorder, the management of which is substantially limited by the leased premises.","Crossed Over","Referred Judicial Proceedings","02/26/2024"
"MD","HB95","Workgroup to Study School Bus Safety (Maryland School Bus Safety Act of 2024)","Establishing the Workgroup to Study School Bus Safety; requiring the Workgroup to identify issues related to safety for and behavior of students and bus drivers on buses driven to or from a primary or secondary school in the State; and requiring the Workgroup to report its findings and recommendations to the governing body of each county and Baltimore City, each county board of education, including Baltimore City, the Governor, and the General Assembly by June 30, 2025.","In Committee","House Environment and Transportation Hearing (13:00:00 2/29/2024 )","02/29/2024"
"MD","HB96","Health - Newborn Screening Program - Krabbe Leukodystrophy","Requiring that the Maryland Department of Health's newborn screening system include screening for Krabbe leukodystrophy.","In Committee","House Health and Government Operations Hearing (14:30:00 2/7/2024 )","02/07/2024"
"MD","HB97","Baby Food - Toxic Heavy Metals - Testing and Labeling","Requiring, beginning January 1, 2025, manufacturers of baby food to conduct certain testing on baby food for toxic heavy metals before packaging individual units of baby food for sale or distribution in the State; and requiring, beginning January 1, 2026, manufacturers of baby food to make certain information related to the testing and a link to certain guidance and information publicly available on the manufacturer's website and to include the test results or a certain code on the baby food product label.","In Committee","House Health and Government Operations Hearing (14:30:00 2/7/2024 )","02/07/2024"
"MD","HB98","Office of the Deaf and Hard of Hearing - Deafblind Co-Navigation Services Program - Established","AN ACT concerning Office of the Deaf and Hard of Hearing - Deafblind Co-Navigation Services Program - Established FOR the purpose of establishing the Deafblind Co-Navigation Services Program in the Office of the Deaf and Hard of Hearing to provide co-navigation services to deafblind individuals in the State; and generally relating to the Office of the Deaf and Hard of Hearing and the Deafblind Co-Navigation Services Program. BY repealing and reenacting, without amendments, Article - State Government Section 9-2401(a), (b), (c), (g), (h), (k), (m), (o), and (r) Annotated Code of Maryland (2021 Replacement Volume and 2023 Supplement) BY adding to Article - State Government Section 9-2438 through 9-2443 to be under the new part “Part IV. Deafblind Co-Navigation Services Program” Annotated Code of Maryland (2021 Replacement Volume and 2023 Supplement)","In Committee","House Appropriations Hearing (13:00:00 1/30/2024 )","01/30/2024"
"MD","HB100","Inheritance Tax Rate – Beneficiaries of Limited Means","AN ACT concerning Inheritance Tax Rate - Beneficiaries of Limited Means FOR the purpose of altering, under certain circumstances, the inheritance tax due on certain property that passes from a decedent to or for the use of certain beneficiaries of limited means; and generally relating to the inheritance tax. BY repealing and reenacting, with amendments, Article - Tax - General Section 7-204 Annotated Code of Maryland (2022 Replacement Volume and 2023 Supplement)","In Committee","House Ways and Means Hearing (13:00:00 2/1/2024 )","02/01/2024"
"MD","HB101","State Highway Projects - Removal, Relocation, and Adjustment of Utility Facilities - Notification, Work Plans, and Compliance","Requiring the State Highway Administration to provide certain notices to the owner or operator of a utility facility for the removal, relocation, or adjustment of the utility facility for a State highway project; requiring the owner or operator of the utility facility to provide certain information to the Administration; requiring the owner or operator of a utility facility to pay for certain costs and damages under certain circumstances; prohibiting a certain utility from recovering through rates certain costs; etc.","In Committee","House Economic Matters Hearing (13:00:00 2/15/2024 )","02/15/2024"
"MD","HB102","Motor Vehicles - Motorcycles - Passenger Restrictions","Requiring a rear passenger on a motorcycle to be able to firmly position the passenger's feet on the footrests of the motorcycle, subject to an exception for permanent physical disability.","Crossed Over","Referred Judicial Proceedings","02/14/2024"
"MD","HB103","Maryland Medical Assistance Program - Dental Services - Coverage and Rate Study","Requiring the Maryland Department of Health to study the feasibility of including removable full and partial dentures and setting adequate reimbursement rates for providers on a per-patient basis for house calls and extended care facility calls among the coverage offered by the Maryland Healthy Smiles Dental Program; and requiring the Department to report its findings from the study to the Senate Finance Committee and the House Health and Government Operations Committee by December 1, 2024.","Crossed Over","Referred Finance","03/01/2024"
"MD","HB104","Healthy Working Families Act - Railroad Employees - Unpaid Leave","Requiring a railroad employer to provide a railroad employee with unpaid earned sick and safe leave under the Healthy Working Families Act.","In Committee","Withdrawn by Sponsor","02/12/2024"
"MD","HB105","Drunk Driving Offenses – Ignition Interlock System Program","Requiring the Motor Vehicle Administration to require certain persons who are convicted of, or granted probation before judgment for, certain criminal offenses related to driving while impaired by alcohol, a drug or drug combination, or a combination of drugs and alcohol to participate in the Ignition Interlock System Program for certain periods of time.","In Committee","Hearing 2/21 at 1:30 p.m.","02/21/2024"
"MD","HB106","Human Services - Public Assistance to Entrepreneurship (PA2E) Program - Establishment","Establishing the Public Assistance to Entrepreneurship (PA2E) Program in the Department of Human Services to train participants on how to establish and run a small business; requiring the Department to establish eligibility criteria and a process to enroll eligible individuals; and authorizing the Department to provide up to $10,000 in business start-up funding to each participant who successfully completes the PA2E Program and develops a viable business plan.","In Committee","Withdrawn by Sponsor","02/12/2024"
"MD","HB108","Baltimore County Board of Education - Nonstudent Member Compensation and Student Member Scholarships - Alterations","Altering the annual compensation of certain nonstudent members of the Baltimore County Board of Education from $7,500 to $16,500; providing that the chair of the county board is entitled to receive $17,500 annually as compensation; and increasing the amount that a student member of the board is granted for a certain scholarship from $6,500 to $10,000.","In Committee","House Ways and Means Hearing (13:00:00 1/25/2024 )","01/25/2024"
"MD","HB109","Natural Resources - Submerged Aquatic Vegetation - Alteration or Removal Requirements","Authorizing certain persons to alter certain submerged aquatic vegetation in a certain manner and in accordance with certain requirements; authorizing a public utility company or telecommunications carrier to alter certain submerged aquatic vegetation in a certain manner and in accordance with certain requirements; and altering certain requirements related to the alteration or removal of certain submerged aquatic vegetation.","Crossed Over","Referred Education, Energy, and the Environment","02/23/2024"
"MD","HB110","Health Insurance - Utilization Review - Private Review Agents","Requiring that certain criteria and standards used by private review agents for health insurance utilization review relating to mental health and substance use disorder benefits meet certain requirements; requiring a private review agent to take certain actions before issuing an adverse decision; and specifying the procedure for private review agents to follow when making decisions related to mental health and substance use disorder benefits.","In Committee","Withdrawn by Sponsor","02/05/2024"
"MD","HB111","Bicycles, Play Vehicles, and Unicycles - Authorizations and Requirements","Authorizing a person to ride a bicycle, play vehicle, or unicycle on a sidewalk or sidewalk area unless prohibited by local ordinance; and requiring a person riding a bicycle, play vehicle, or unicycle on a sidewalk or sidewalk area or in or through a crosswalk to yield the right-of-way to a pedestrian or a person using an electric personal assistive mobility device.","Crossed Over","Referred Judicial Proceedings","02/14/2024"
"MD","HB112","Persons Doing Public Business – Disclosure Requirements","Requiring a person to file a registration statement with the State Board of Elections within a certain time period after the award of a contract that causes the person to be doing public business; requiring persons doing public business to update information on beneficial ownership included in the registration statement in accordance with regulations adopted by the State Board; altering the time at which a person doing public business is required to file a certain initial statement with the State Board; etc.","Crossed Over","Referred Education, Energy, and the Environment","02/16/2024"
"MD","HB113","Vehicle Laws - Horse Riding - Helmet Requirement for Minors","Prohibiting an adult from allowing certain minors to ride a horse, donkey, mule, or pony on a highway, a public horse-riding path, or the grounds of a facility for which the primary purpose is recreational, educational, therapeutic, or competitive equestrian activities unless the minor is wearing a properly secured helmet that meets or exceeds the standards of the American Society of Testing and Materials for protective headgear used in equestrian riding.","Crossed Over","Referred Judicial Proceedings","02/16/2024"
"MD","HB114","Arbitration Reform for State Employees Act of 2024","AN ACT concerning Arbitration Reform for State Employees Act of 2024 FOR the purpose of altering the collective bargaining process for State employees, including by requiring the selection of a neutral arbitrator to oversee all aspects of collective bargaining, establishing a process of arbitration in the event of impasse, and providing that certain decisions of a neutral arbitrator are advisory; altering the matters that are required to be included in collective bargaining; requiring that each budget bill contain the appropriations necessary to implement all terms and conditions of employment in certain memoranda of understanding for the next ensuing fiscal year; and generally relating to collective bargaining for State employees. BY repealing and reenacting, with amendments, Article - State Finance and Procurement Section 7-108 Annotated Code of Maryland (2021 Replacement Volume and 2023 Supplement) BY repealing and reenacting, with amendments, Article - State Personnel and Pensions Section 3-103, 3-502, and 3-603 Annotated Code of Maryland (2015 Replacement Volume and 2023 Supplement) BY repealing and reenacting, with amendments, Article - State Personnel and Pensions Section 3-501 Annotated Code of Maryland (2015 Replacement Volume and 2023 Supplement) (As enacted by Chapter 72 of the Acts of the General Assembly of 2021) HOUSE BILL 114 BY adding to Article - State Personnel and Pensions Section 3-503 Annotated Code of Maryland (2015 Replacement Volume and 2023 Supplement) BY proposing an amendment to the Maryland Constitution Article III - Legislative Department Section 52","In Committee","House Appropriations Hearing (13:00:00 1/30/2024 )","01/30/2024"
"MD","HB115","Criminal Procedure - Victims' Rights - Notification of Release From Confinement (Jaycee Webster Victims' Rights Act)","AN ACT concerning Criminal Procedure - Victims’ Rights - Notification of Release From Confinement (Jaycee Webster Victims’ Rights Act) FOR the purpose of requiring a certain commitment unit to include in a notification given to a victim, victim’s representative, or witness regarding the release from confinement of a sentenced defendant or child respondent the name and telephone number of a certain victim services employee; and generally relating to victims’ rights. BY repealing and reenacting, with amendments, Article - Criminal Procedure Section 11-508 Annotated Code of Maryland (2018 Replacement Volume and 2023 Supplement)","In Committee","House Judiciary Hearing (13:00:00 2/1/2024 )","02/01/2024"
"MD","HB116","Teacher Degree Apprenticeship","AN ACT concerning Teacher Degree Apprenticeship FOR the purpose of establishing the Teacher Apprenticeship Startup Grant Program in the Maryland Department of Labor; requiring a sponsor participating in a teacher apprenticeship program to establish an apprenticeship that develops certain career paths and to pay apprentices certain compensation; requiring a sponsor, in coordination with the Career and Technical Education (CTE) Committee, to develop a high school-level apprenticeship; requiring a sponsor to partner with institutions of higher education to offer postsecondary education credits under a teacher apprenticeship program; authorizing the Maryland Department of Labor to award a certain amount in a certain fiscal year to a sponsor to develop and launch a teacher apprenticeship program; requiring the CTE Committee to determine whether certain changes to rules, regulations, procedures, or funding of the State Department of Education are necessary to implement the Grant Program; and generally relating to teacher apprenticeships in the State. BY adding to Article - Labor and Employment Section 11-607 Annotated Code of Maryland (2016 Replacement Volume and 2023 Supplement) Preamble","In Committee","House Ways and Means Hearing (13:00:00 1/31/2024 )","01/31/2024"
"MD","HB117","Department of Natural Resources - Maryland Geological Survey Fund - Establishment","Establishing the Maryland Geological Survey Fund to finance certain direct and indirect costs, including long-term budgeting and planning for survey projects, procurements, and equipment purchases; establishing the Fund as a special, nonlapsing fund in the Department of Natural Resources; and requiring interest earnings of the Fund to be credited to the Fund.","Crossed Over","Referred Education, Energy, and the Environment","02/23/2024"
"MD","HB118","Correctional Services - Geriatric and Medical Parole","Requiring the Maryland Parole Commission to consider the age of  incarcerated individuals when determining whether to grant parole; altering how the Commission evaluates a request for medical parole;  requiring the Commission to develop procedures for assessing parole requests by certain incarcerated individuals; and requiring the Commission to report yearly to the Justice Reinvestment Oversight Board on the outcomes of certain parole considerations.","In Committee","House Judiciary Hearing (13:00:00 2/27/2024 )","02/27/2024"
"MD","HB119","Public Health - Giving Infants a Future Without Transmission (GIFT) Act","Altering certain HIV and syphilis reporting and testing requirements for hospitals and health care providers for pregnant women and newborns, including by requiring that the pregnancy status of certain individuals be included in certain reports and that certain health care providers submit certain blood samples to medical laboratories.","In Committee","House Health and Government Operations Hearing (14:30:00 2/7/2024 )","02/07/2024"
"MD","HB120","Economic Development – Maryland Watermen’s Microloan Program – Eligibility","Expanding eligibility for the Maryland Watermen's Microloan Program within the Maryland Agricultural and Resource-Based Industry Development Corporation to include, starting July 1, 2025, individuals  who are residents of the State and hold a commercial fishing license to catch finfish, crabs, clams, or oysters issued by the Potomac River Fisheries Commission; and repealing a requirement that a loan made under the Program be at least $7,000 and not more than $15,000.","Crossed Over","Referred Finance","02/23/2024"
"MD","HB121","Department of Public Safety and Correctional Services - Training Facilities With an Outdoor Firearm Range - Location","Stating the intent of the General Assembly that the Department of Public Safety and Correctional Services not locate training facilities with outdoor firearm ranges near a hospital, educational, state or local correctional, or juvenile facility; requiring the Department to provide certain notice of outdoor firearms training; requiring the Governor to appropriate funds in certain years for the relocation of certain training facilities; and requiring a report regarding the facilities be submitted annually beginning December 15, 2024.","In Committee","Withdrawn by Sponsor","02/12/2024"
"MD","HB122","General Provisions – Commemorative Month – Small Business Month","Requiring the Governor annually to proclaim the month of May as Small Business Month; and requiring the proclamation to urge citizens and organizations to observe Small Business Month properly with appropriate programs, ceremonies, and activities.","In Committee","House Health and Government Operations Hearing (13:00:00 3/14/2024 )","03/14/2024"
"MD","HB123","Division of Parole and Probation - Criteria for Earned Compliance Credit - Exception for Supervision Fees","AN ACT concerning Division of Parole and Probation - Criteria for Earned Compliance Credit - Exception for Supervision Fees FOR the purpose of altering a certain condition regarding the payment of certain restitution, fines, and fees that a certain supervised individual must satisfy to accrue certain earned compliance credit while under the supervision of the Division of Parole and Probation in the Department of Public Safety and Correctional Services; and generally relating to individuals under the supervision of the Division of Parole and Probation. BY repealing and reenacting, without amendments, Article - Correctional Services Section 6-117(a)(1) and (4) and 7-702(a), (b), and (c)(1) Annotated Code of Maryland (2017 Replacement Volume and 2023 Supplement) BY repealing and reenacting, with amendments, Article - Correctional Services Section 6-117(a)(3) Annotated Code of Maryland (2017 Replacement Volume and 2023 Supplement) BY repealing and reenacting, without amendments, Article - Criminal Procedure Section 6-226(a), (b), and (c)(1) Annotated Code of Maryland (2018 Replacement Volume and 2023 Supplement)","In Committee","House Judiciary Hearing (13:00:00 2/6/2024 )","02/06/2024"
"MD","HB124","Alcoholic Beverages - License Applications - Residency Requirements","AN ACT concerning Alcoholic Beverages - License Applications - Residency Requirements FOR the purpose of altering the information that an applicant is required to provide in an application for an alcoholic beverages license; authorizing a permanent legal resident of the United States to hold an alcoholic beverages license; and generally relating to alcoholic beverages licenses. BY repealing and reenacting, with amendments, Article - Alcoholic Beverages and Cannabis Section 4-109(a) Annotated Code of Maryland (2016 Volume and 2023 Supplement)","In Committee","House Economic Matters Hearing (13:00:00 2/19/2024 )","02/19/2024"
"MD","HB126","Prince George's County - Board of Education - Family Life and Human Sexuality Instruction","Requiring the Prince George's County Board of Education to require the curriculum for family life and human sexuality instruction in Prince George's County schools begin no later than grade 6, provide age-appropriate instruction, include certain medically accurate information about contraception options, and include trauma-informed discussion of molestation and pedophilia and that these actions are reportable crimes than can result in imprisonment.","In Committee","Withdrawn by Sponsor","02/26/2024"
"MD","HB128","Crimes - Interfering With a Legislative Proceeding","AN ACT concerning Crimes - Interfering With a Legislative Proceeding FOR the purpose of prohibiting a person from intentionally taking certain actions, or intentionally soliciting another person to take certain actions, against a witness to affect testimony offered to a legislative body in a legislative proceeding; and generally relating to a prohibition against interfering with a legislative proceeding. BY adding to Article - Criminal Law Section 9-901 through 9-903 to be under the new subtitle “Subtitle 9. Interfering With a Legislative Proceeding” Annotated Code of Maryland (2021 Replacement Volume and 2023 Supplement)","In Committee","House Judiciary Hearing (13:00:00 1/23/2024 )","01/23/2024"
"MD","HB129","Criminal Procedure - Location Information - Exigent Circumstances (Kelsey Smith Act for Maryland)","AN ACT concerning Criminal Procedure - Location Information - Exigent Circumstances (Kelsey Smith Act for Maryland) FOR the purpose of requiring certain service providers to provide certain location information for an electronic device to a law enforcement agency or public safety answering point in certain circumstances for a certain period of time; prohibiting a person from being held civilly liable for making required disclosures; requiring the Department of State Police to collect and disseminate certain information under certain circumstances; and generally relating to location information and exigent circumstances. BY repealing and reenacting, without amendments, Article - Criminal Procedure Section 1-203.1(a)(1), (4), (5), (6), and (9) Annotated Code of Maryland (2018 Replacement Volume and 2023 Supplement) BY adding to Article - Criminal Procedure Section 1-203.2 Annotated Code of Maryland (2018 Replacement Volume and 2023 Supplement)","In Committee","House Judiciary Hearing (13:00:00 1/30/2024 )","01/30/2024"
"MD","HB130","Department of General Services - State Buildings and Facilities - Energy Conservation and Greenhouse Gas Emissions Reductions","AN ACT concerning Department of General Services - State Buildings and Facilities - Energy Conservation and Greenhouse Gas Emissions Reductions FOR the purpose of altering the State’s goals for reducing energy consumption in State buildings; requiring the Maryland Green Building Council to update the High Performance Green Building Program to ensure that the Program aligns with certain greenhouse gas emissions reduction goals; requiring the Department of General Services to identify State-owned facilities that are potential candidates for energy performance contracts; altering requirements for certain energy audits, data collection processes, and requests for proposals to address greenhouse gas emissions from State facilities; requiring each unit of State government to implement projects and initiatives to conserve energy and reduce the unit’s greenhouse gas emissions; and generally relating to the conservation of energy in, and reduction of greenhouse gas emissions from, State buildings and facilities. BY repealing and reenacting, with amendments, Article - State Finance and Procurement Section 4-806 Annotated Code of Maryland (2021 Replacement Volume and 2023 Supplement)","In Committee","House Environment and Transportation Hearing (15:00:00 1/31/2024 )","01/31/2024"
"MD","HB131","Housing Development Permit Applications - Local Reporting Requirements","AN ACT concerning Housing Development Permit Applications - Local Reporting Requirements FOR the purpose of requiring certain local jurisdictions to report certain information about housing development permit applications to the Department of Housing and Community Development and the Department of Planning on or before a certain date each year; requiring a local jurisdiction to make a copy of the report publicly available on its website; and generally relating to housing development permit applications. BY adding to Article - Land Use Section 7-105 Annotated Code of Maryland (2012 Volume and 2023 Supplement)","In Committee","House Environment and Transportation Hearing (13:30:00 2/6/2024 )","02/06/2024"
"MD","HB132","Sports Wagering Campaign Contributions Parity Act of 2024","AN ACT concerning Sports Wagering Campaign Contributions Parity Act of 2024 FOR the purpose of repealing the prohibition on applicants for and holders of video lottery operation licenses and persons who own an interest in video lottery facility operations in the State from directly or indirectly making contributions to certain campaign finance entities; and generally relating to campaign finance contributions by persons with an interest in video lottery operations. BY repealing Article - Election Law Section 13-237 Annotated Code of Maryland (2022 Replacement Volume and 2023 Supplement)","In Committee","House Ways and Means Hearing (13:00:00 1/17/2024 )","01/17/2024"
"MD","HB133","Commission to Study African American Civil War Soldiers in Maryland","Establishing the Commission to Study African American Civil War Soldiers in Maryland; requiring the Commission to study the history of the African American soldiers who fought for the Union Army; requiring the Commission to make certain recommendations regarding the funding, design, construction, and location of an appropriate memorial dedicated to African American Civil War soldiers; and requiring the Commission to report its findings and recommendation to the Governor and the General Assembly by December 1, 2024.","Crossed Over","Referred Education, Energy, and the Environment","02/09/2024"
"MD","HB134","Juvenile Law - Juvenile Court Jurisdiction - Age of Child","Altering the age, from 13 years old to 11 years old, at which a certain child is subject to the exclusive original jurisdiction of the juvenile court.","In Committee","Withdrawn by Sponsor","03/04/2024"
"MD","HB135","Transportation - Maryland Transportation Authority - Pedestrian and Bicycle Safety and Accessibility","Repealing a prohibition on pedestrians using a highway of the Maryland Transportation Authority; altering a prohibition on bicycles using an Authority highway; requiring the Authority to construct separated or buffered bicycle ways and pedestrian walkways in certain locations under certain circumstances; providing for a waiver from requirements under the Act; requiring the Bicycle and Pedestrian Advisory Committee to review waiver requests under the Act and provide recommendations to the Secretary of Transportation; etc.","In Committee","House Environment and Transportation Hearing (13:00:00 2/22/2024 )","02/22/2024"
"MD","HB136","Employment Standards, Prevailing Wage, and Living Wage - Employer Adverse Actions - Prohibition","AN ACT concerning Employment Standards, Prevailing Wage, and Living Wage - Employer Adverse Actions - Prohibition FOR the purpose of prohibiting employers from taking or threatening to take adverse action against an employee because the employee takes certain actions regarding rights and responsibilities, complaints, investigations, proceedings, or hearings under certain provisions of law; authorizing the Commissioner of Labor and Industry to investigate a violation of this Act on the Commissioner’s own initiative or on receipt of a written complaint; and generally relating to employer adverse actions. BY adding to Article - Labor and Employment Section 3-105 Annotated Code of Maryland (2016 Replacement Volume and 2023 Supplement)","In Committee","House Economic Matters Hearing (13:00:00 1/24/2024 )","01/24/2024"
